høyhastighetstoget,høgfartstoget,1.0
opphør,opphøyr,0.8181818181818182
sammenstillingen,samanstillinga,0.8888888888888888
jagielski,seier,1.0
n,in,0.8502841238548069
barnevognen,barnevogna,0.9166666666666666
arbeidsgiveravgiften,arbeidsgivaravgifta,0.8055555555555556
våpenhvile,våpenkvile,0.9877300613496932
uoppdaget,uoppdaga,0.8823529411764706
stortingsleilighet,stortingsleilegheit,0.9090909090909091
krisemidler,regjeringa,0.625
kjørefelt,køyrefelt,0.9714285714285714
artsmangfoldet,artsmangfaldet,0.9090909090909091
menneskelig,menneskeleg,0.9655172413793104
pfizer-doser,pfizer-dosar,1.0
flom,flaum,0.9454545454545454
båteiere,båteigarar,1.0
folkebibliotekene,folkebiblioteka,1.0
gisler,gislar,0.9393939393939394
fn-ekspertene,fn-ekspertane,1.0
lønnsstøtten,lønnsstøtta,1.0
norwegian-kunder,norwegian-kundar,1.0
forekommer,finst,0.6043956043956044
oppsiden,oppsida,0.8
ol-deltakelse,ol-deltaking,0.875
framhevet,framheva,0.96
framhever,framhevar,0.84375
framheves,framheva,0.7777777777777778
forholdsreglene,forholdsreglane,1.0
høythengende,høgthengande,0.8
flyr,flyg,0.56640625
julestjernen,reisen,0.625
kleskjeden,kleskjeda,0.9230769230769231
menneskerettene,menneskerettane,0.8
arkeologene,arkeologane,1.0
demokratiforståelse,demokratiforståing,0.8
posene,posane,0.9666666666666667
transportarbeiderforbund,norsk,1.0
kompisene,kompisane,1.0
forhandlere,forhandlarar,0.8591549295774648
innvandrermiljøer,innvandrarmiljø,0.9
alvorlig,alvorleg,0.9785969084423306
juleklassikeren,juleklassikaren,1.0
framtidsrettet,framtidsretta,0.9615384615384616
lakseoppdretteren,lakseoppdrettaren,1.0
ordførerkandidat,ordførarkandidat,0.7777777777777778
overrakte,overrekte,0.9090909090909091
høyesterett,høgsterett,0.9775524981897176
løsningsorientert,løysingsorientert,0.875
uunnværlig,uunnverleg,0.8
wolde-mariam,yosef,1.0
albanere,albanarar,1.0
målgivende,målgivande,0.9375
floyd-saken,floyd-saka,1.0
gisken,armand,0.6666666666666666
sjusifret,sjusifra,1.0
småpakker,småpakkar,0.875
filmer,filmar,0.9425287356321839
filmes,filma,0.7142857142857143
filmet,filma,0.9781021897810219
befolkningsfond,fns,1.0
aluminiumspriser,aluminiumsprisar,1.0
tannproblemer,tannproblem,1.0
medaljeseilasen,medaljeseglinga,0.9375
treer,trear,0.9245283018867925
svart-hvitt,svart-kvitt,0.8571428571428571
gressbrann,grasbrann,0.9285714285714286
treningskamper,treningskampar,0.9436619718309859
studentboliger,studentbustader,0.9393939393939394
folkelige,folkelege,0.967741935483871
foreldreløse,foreldrelause,0.9690721649484536
voldtekter,valdtekter,0.9785714285714285
voldtekten,valdtekta,0.9655172413793104
dumbo,jet,1.0
oppnevne,utnemne,0.896551724137931
fn-hovedkvarteret,fn-hovudkvarteret,1.0
sjangere,sjangrar,1.0
stedsnavn,stadnamn,1.0
opprullingen,opprullinga,1.0
lakseoppdretterne,lakseoppdrettarane,1.0
livstruende,livstruande,0.9689119170984456
trent,trena,0.7372654155495979
lederstriden,leiarstriden,1.0
tyskspråklige,tyskspråklege,1.0
sovner,sovnar,0.75
sovnet,sovna,0.9655172413793104
landansatte,landstilsette,0.6
livstilfredshet,livet,0.6
